species_id,species,label,AdultForearmLen_mm,AgeAtEyeOpening_d,AgeAtFirstBirth_d,BasalMetRate_mL02hr,DispersalAge_d,HomeRange_km2,HomeRangeIndiv_km2,NeonateHeadBodyLen_mm,PopulationDensity_nkm2,PopulationGrpSize_n,SexualMaturityAge_d,SocialGrpSize_n,TeatNumber_n,TrophicLevel_cat,WeaningBodyMass_g,WeaningHeadBodyLen_mm,AETMean_mm,PETMean_mm,Diet.Inv,Diet.Vend,Diet.Vect,Diet.Vfish,Diet.Vunk,Diet.Scav,Diet.Fruit,Diet.Nect,Diet.Seed,Diet.PlantO,ForStrat.ground,ForStrat.understory,ForStrat.arboreal,ForStrat.aerial,ForStrat.marine,BodyMass.Value,Activity.Nocturnal,Activity.Crepuscular,Activity.Diurnal,infantMortalityRate_per_year,mortalityRateDoublingTime_y,metabolicRate_W,temperature_K,female_maturity_d,male_maturity_d,weaning_d,gestation_d,incubation_d,litter_or_clutch_size_n,litters_or_clutches_per_y,inter_litter_or_interbirth_interval_y,birth_or_hatching_weight_g,weaning_weight_g,longevity_y,maximum_longevity_y,female_body_mass_g,male_body_mass_g,adult_svl_cm,RangeArea_km2,WWFMHT_n,MaxLongitude_WGS84dd,MinLongitude_WGS84dd,RangeLongitude_WGS84dd,MaxLatitude_WGS84dd,MinLatitude_WGS84dd,RangeLatitude_WGS84dd,CentroidLongitude_WGS84dd,CentroidLatitude_WGS84dd,HumanPopulationDensityMean_n,HumanPopulationDensityMin_n,HumanPopulationDensityMax_n,HumanPopulationDensityMedian_n,HumanPopulationDensity10perc_n,TemperatureMean_dC,TemperatureMin_dC,TemperatureMax_dC,TemperatureRange_dC,PrecipitationMean_mm,PrecipitationMin_mm,PrecipitationMax_mm,PrecipitationRange_mm,MassSpecificProduction,Dindex,IUCNForest,IUCNSavanna,IUCNShrubland,IUCNGrassland,IUCNWetlands,IUCNRockyAreas,IUCNCaves,IUCNDesert,IUCNMarineNeritic,IUCNMarineOceanic,IUCNMarineDeepBenthic,IUCNMarineIntertidal,IUCNMarineCoastal,IUCNArtificialTerrestrial,IUCNArtificialAquatic,IUCNIntroducedVegetation,WWF_TropicalSubtropicalMoistBroadleafForests,WWF_TropicalSubtropicalDryBroadleafForests,WWF_TemperateBroadleafMixedForests,WWF_TropicalSubtropicalGrasslandsSavannasShrublands,WWF_TemperateGrasslandsSavannasShrublands,WWF_MontaneGrasslandsShrublands,WWF_Tundra,WWF_Mangroves,WWF_FloodedGrasslandsSavannas,WWF_MediterraneanForestsWoodlandsScrub,WWF_DesertsXericShrublands,WWF_TropicalSubtropicalConiferousForests,WWF_TemperateConiferForests,WWF_InlandWater,WWF_RockIce,WWF_BorealForestsTaiga,Ailuridae,Mephitidae,Mustelidae,Procyonidae,Odobenidae,Otariidae,Phocidae,Ursidae,Canidae,Felidae,Prionodontidae,Nandiniidae,Eupleridae,Herpestidae,Hyaenidae,Viverridae,num_zoonoses,WOSHits_n
1,Ailurus fulgens,1,NA,18,760.41,838.36,270,1.43,1.52,NA,NA,NA,604.05,NA,4,1,NA,NA,828.72,1043.82,10,10,0,0,0,0,10,0,10,60,1,0,0,0,0,4900,1,1,1,NA,NA,4.898,310.75,571.90318,550,136.935,123.4374,NA,2,1,0.999315537,102.02,1140,17.5,19,NA,NA,60.866,338830.9948,5,104.7440796,81.95431798,22.78976161,33.67047119,24.1809082,9.489562988,96.57000401,28.60568735,40.51578593,1.388797998,430.4908752,16.84985638,80.2756546,8.459335517,-0.43835783,20.34713364,20.78549147,1105.42971,484.0383911,2804.690674,2320.652283,0.042978048,0.961151597,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,208
2,Ailurus styani,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
3,Conepatus chinga,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,724.98,1146.36,80,0,10,0,0,0,10,0,0,0,1,0,0,0,0,1917.52,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10.15,NA,NA,49,5075055.138,10,-44.49782181,-78.729259,34.23143719,-8.255640016,-42.65491575,34.39927573,-62.26246054,-27.7280328,27.44251026,0.022894436,1332.179321,7.409308672,48.79143906,16.61673752,0.439523131,26.50395203,26.0644289,896.9690254,14.09424114,2813.261719,2799.167478,NA,NA,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,55
4,Conepatus leuconotus,0,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,340.6,NA,6,3,NA,NA,693.09,1289.29,80,0,10,0,0,0,10,0,0,0,1,0,0,0,0,3500.02,1,0,0,NA,NA,NA,NA,319.578,319,45.56,60,NA,3.5,1.5,0.499657769,NA,NA,7,10.2,NA,NA,48,2498458.411,8,-85.11045644,-114.6387285,29.52827202,39.48195316,12.53541316,26.94654,-102.382175,26.37666128,50.7121535,0.020145604,980.1395874,16.92201328,125.6806641,18.46170523,3.932353258,27.37726593,23.44491267,701.4983705,216.6665955,3255.142578,3038.475983,NA,NA,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
5,Conepatus semistriatus,0,NA,NA,NA,NA,NA,0.27,0.25,NA,9.52,NA,NA,NA,6,2,NA,NA,1187.42,1581.66,80,0,10,0,0,0,10,0,0,0,1,0,0,0,0,1200,1,0,0,NA,NA,NA,NA,NA,NA,NA,60.872,NA,3.995,NA,NA,NA,NA,NA,NA,NA,NA,49,2021448.583,8,-34.79012298,-97.28229837,62.49217539,21.60987663,-13.0223894,34.63226603,-66.88408653,4.712127908,62.1430922,2.050582647,520.857605,37.14462662,138.9526825,24.8927144,13.65094852,29.00983047,15.35888195,1547.992084,36.11119461,6230.67041,6194.559216,NA,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
6,Mephitis macroura,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,3,NA,NA,724.66,1340.24,20,30,0,0,0,0,20,0,10,20,1,0,0,0,0,801.25,1,1,1,NA,NA,NA,NA,NA,NA,NA,59.536,NA,4.34,NA,NA,NA,NA,8.733333333,8.733333333,717,851.5,35.3525,1783431.713,7,-85.14903939,-113.3562813,28.20724191,34.90740777,12.25300777,22.6544,-102.6597495,24.49581468,60.97134025,0.020145604,980.1395874,22.67657471,149.8058273,19.26256985,8.417414665,27.37726593,18.95985126,762.1134614,170.7404633,3255.142578,3084.402115,NA,NA,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14
7,Mephitis mephitis,1,NA,21.98,NA,638.4,84,2.32,2.18,NA,8.15,NA,355.18,NA,12,2,NA,NA,531.54,768.85,20,30,0,0,0,0,20,0,10,20,1,0,0,0,0,2085.02,1,0,0,NA,NA,NA,309.6,337.48506,335,60,63,NA,5.1,1.21,0.999315537,33.19,493.5,12.44583333,13.9,NA,5050,42.9775,12271610.67,10,-60.96888733,-128.8294603,67.86057294,62.13811201,24.16928397,37.96882804,-99.86022476,44.2895864,18.54763046,0,732.1711426,2.074325085,46.34729195,7.05990887,-5.643396378,24.34183311,29.98522949,704.9327134,72.51850128,2753.256836,2680.738335,0.069429097,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,386
8,Spilogale angustifrons,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,40,0,0,0,0,10,0,0,0,1,0,0,0,0,334.37,1,0,0,NA,NA,NA,NA,304.36,237,52.195,37.24,NA,7.5,1.425,0.666201232,9.5,160,11.05833333,14,NA,945,34.946,777447.1411,6,-83.65817289,-104.6482849,20.99011203,23.32036754,9.898793507,13.42157404,-93.31792322,17.47750905,124.8987611,2.754191637,980.1395874,77.7552948,308.102002,22.00421564,13.25155067,26.29706955,13.04551888,1453.317326,462.0368958,3283.068359,2821.031464,0.165900735,NA,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9,Spilogale gracilis,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418.03,1007.45,30,40,0,0,0,0,0,0,0,30,1,0,0,0,0,466.5,1,0,0,NA,NA,NA,NA,304.36,237,52.195,37.24,NA,5.07,1.425,0.666201232,9.5,160,10.77916667,14,354.5,734,34.946,3825446.678,9,-97.7329,-126.3031,28.5702,51.59993559,21.59503559,30.0049,-111.2235473,36.18787761,19.87455831,0.007699438,547.3868408,3.315709472,48.94554214,12.31645848,-0.239026636,24.49125671,24.73028335,481.3619423,72.51850128,2753.256836,2680.738335,0.112148897,NA,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
10,Spilogale putorius,0,NA,30.07,NA,261,NA,0.29,0.31,NA,4.7,NA,196.96,NA,8,2,NA,NA,795.02,944.25,30,40,0,0,0,0,0,0,0,30,1,0,0,0,0,341,1,0,0,NA,NA,1.674,309.55,196.96,152,50,32.99,NA,5,1.5,0.666201232,12.29,160,10,10.5,NA,NA,31.9745,2979584.787,6,-77.41401256,-106.8507889,29.43677633,49.34874181,24.1839198,25.164822,-93.76783944,37.72619846,27.31793143,0.07845398,491.2243652,11.25225735,57.90292892,12.84801249,2.773693085,24.34183311,21.56814003,922.7923168,309.0370178,1626.095459,1317.058441,0.158038217,NA,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
