"species","order","family","fullCodeSuitable","fullCodeMarginal","fullCodeUnknown","briefCode"
"Ornithorhynchus anatinus","MONOTREMATA","ORNITHORHYNCHIDAE","5.1",NA,NA,"5"
"Tachyglossus aculeatus","MONOTREMATA","TACHYGLOSSIDAE","1.4,1.5,1.6,1.9,2.1,3.4,3.5,3.6,3.7,3.8,4.4,4.5,4.7,8.1",NA,NA,"1,2,3,4,8"
"Zaglossus attenboroughi","MONOTREMATA","TACHYGLOSSIDAE","1.6,1.9",NA,NA,"1"
"Zaglossus bartoni","MONOTREMATA","TACHYGLOSSIDAE","1.6,1.9,3.6,3.7,4.7",NA,NA,"1,3,4"
"Zaglossus bruijnii","MONOTREMATA","TACHYGLOSSIDAE","1.6,1.9",NA,NA,"1"
"Caenolestes caniventer","PAUCITUBERCULATA","CAENOLESTIDAE","1.9",NA,NA,"1"
"Caenolestes condorensis","PAUCITUBERCULATA","CAENOLESTIDAE","1.9,3.7",NA,NA,"1,3"
"Caenolestes convelatus","PAUCITUBERCULATA","CAENOLESTIDAE","1.9",NA,NA,"1"
"Caenolestes fuliginosus","PAUCITUBERCULATA","CAENOLESTIDAE","1.9",NA,NA,"1"
"Caenolestes sangay","PAUCITUBERCULATA","CAENOLESTIDAE","1.9",NA,NA,"1"
"Lestoros inca","PAUCITUBERCULATA","CAENOLESTIDAE","1.9",NA,NA,"1"
"Rhyncholestes raphanurus","PAUCITUBERCULATA","CAENOLESTIDAE","1.3,1.4",NA,NA,"1"
"Caluromys derbianus","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9","1.6,1.9",NA,"14,1"
"Caluromys lanatus","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9","1.6,1.9",NA,"14,1"
"Caluromys philander","DIDELPHIMORPHIA","DIDELPHIDAE","1.6","1.6",NA,"14,1"
"Caluromysiops irrupta","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Chironectes minimus","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.8,1.9,5.1,5.4",NA,NA,"1,5"
"Didelphis albiventris","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,2.1,2.2,3.5","1.6,2.1,2.2,3.5",NA,"14,1,2,3"
"Didelphis aurita","DIDELPHIMORPHIA","DIDELPHIDAE","1.4,1.5,1.6,1.9,3.6","1.4,1.5,1.6,1.9,3.6",NA,"1,14,3"
"Didelphis imperfecta","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Didelphis marsupialis","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.6,1.8,3.6","1.5,1.6,1.8,3.6",NA,"14,1,3"
"Didelphis pernigra","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9,3.5,4.5,4.7","1.6,1.9,3.5,4.5,4.7",NA,"14,1,3,4"
"Didelphis virginiana","DIDELPHIMORPHIA","DIDELPHIDAE","1.4,14.4,1.5,1.6,1.9,3.4","1.4,14.4,1.5,1.6,1.9,3.4","1.7","1,14,3"
"Lutreolina crassicaudata","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.8,4.6","1.6,1.8,4.6",NA,"1,4,5"
"Lutreolina massoia","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9,4.6",NA,NA,"1,4"
"Philander andersoni","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Philander canus","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Philander deltae","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.8","1.6,1.8",NA,"1,5"
"Philander mcilhennyi","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Philander melanurus","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Philander nigratus","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Philander opossum","DIDELPHIMORPHIA","DIDELPHIDAE","14.4,1.5,1.6,1.9,3.5,3.6",NA,NA,"14,1,3"
"Philander pebas","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Philander quica","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Philander vossi","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa alstoni","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Marmosa andersoni","DIDELPHIMORPHIA","DIDELPHIDAE","1.9",NA,NA,"1"
"Marmosa constantiae","DIDELPHIMORPHIA","DIDELPHIDAE","1.6,1.9",NA,NA,"1"
"Marmosa demerarae","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Marmosa germana","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa isthmica","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa lepida","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Marmosa limae","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa macrotarsus","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa meridae","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa mexicana","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.6,1.9,4.5","1.5,1.6,1.9,4.5",NA,"14,1,4"
"Marmosa murina","DIDELPHIMORPHIA","DIDELPHIDAE","14.3,14.4,14.5,14.6,1.6,1.8",NA,NA,"14,1"
"Marmosa paraguayana","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Marmosa parda","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa perplexa","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa phaea","DIDELPHIMORPHIA","DIDELPHIDAE","1.9","1.9",NA,"1"
"Marmosa rapposa","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa robinsoni","DIDELPHIMORPHIA","DIDELPHIDAE","1.5,1.6,1.9,2.2",NA,NA,"1,2"
"Marmosa rubra","DIDELPHIMORPHIA","DIDELPHIDAE","1.6",NA,NA,"1"
"Marmosa rutteri","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
"Marmosa simonsi","DIDELPHIMORPHIA","DIDELPHIDAE",NA,NA,NA,NA
