species,synonyms,split,order,family,genus
Ornithorhynchus anatinus,Platypus anatinus,NA,MONOTREMATA,ORNITHORHYNCHIDAE,Ornithorhynchus
Tachyglossus aculeatus,Myrmecophaga aculeata,NA,MONOTREMATA,TACHYGLOSSIDAE,Tachyglossus
Zaglossus attenboroughi,NA,NA,MONOTREMATA,TACHYGLOSSIDAE,Zaglossus
Zaglossus bartoni,Acanthoglossus Bruijnii Bartoni,NA,MONOTREMATA,TACHYGLOSSIDAE,Zaglossus
Zaglossus bruijnii,"Zaglossus bruijni,Tachyglossus Bruijnii",NA,MONOTREMATA,TACHYGLOSSIDAE,Zaglossus
Caenolestes caniventer,Cænolestes caniventer,NA,PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes
Caenolestes condorensis,NA,NA,PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes
Caenolestes convelatus,Cænolestes  convelatus,NA,PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes
Caenolestes fuliginosus,H[yracodon]. fuliginosus,NA,PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes
Caenolestes sangay,NA,NA,PAUCITUBERCULATA,CAENOLESTIDAE,Caenolestes
Lestoros inca,Orolestes inca,NA,PAUCITUBERCULATA,CAENOLESTIDAE,Lestoros
Rhyncholestes raphanurus,NA,NA,PAUCITUBERCULATA,CAENOLESTIDAE,Rhyncholestes
Caluromys derbianus,Didelphys Derbianus,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys
Caluromys lanatus,Didelphys lanata,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys
Caluromys philander,Didelphis philander,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromys
Caluromysiops irrupta,NA,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Caluromysiops
Chironectes minimus,Latra minima,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Chironectes
Didelphis albiventris,NA,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis
Didelphis aurita,Didelphys aurita,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis
Didelphis imperfecta,Didelphis albiventris imperfectus,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis
Didelphis marsupialis,NA,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis
Didelphis pernigra,NA,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis
Didelphis virginiana,NA,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Didelphis
Lutreolina crassicaudata,Didelphis crassicaudata,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Lutreolina
Lutreolina massoia,NA,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Lutreolina
Philander andersoni,Metachirus andersoni,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Philander
Philander canus,Metachirus canus,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Philander
Philander deltae,NA,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Philander
Philander mcilhennyi,NA,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Philander
Philander melanurus,Metachirus opossum melanurus,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Philander
Philander nigratus,Metachirus opossum nigratus,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Philander
Philander opossum,Didelphis opossum,NA,DIDELPHIMORPHIA,DIDELPHIDAE,Philander
